product_id,product,category,warehouse,stock_quantity,reorder_level,reorder_quantity,unit_cost,inventory_value,lead_time_days,safety_stock,stock_status
P0078,Face Wash 2,Beauty,WH-North,16,8,32,1831.53,29304.48,4,4,Healthy
P0079,Face Wash 3,Beauty,WH-North,17,13,34,1614.67,27449.39,8,5,Healthy
P0081,Shampoo 1,Beauty,WH-North,7,8,33,1803.08,12621.56,4,4,Low Stock
P0085,Moisturizer 1,Beauty,WH-North,16,7,18,1787.67,28602.72,3,3,Healthy
P0087,Moisturizer 3,Beauty,WH-North,22,9,16,1722.1,37886.2,6,3,Healthy
P0089,Perfume 1,Beauty,WH-North,21,10,33,1785.78,37501.38,6,3,Healthy
P0092,Perfume 4,Beauty,WH-North,29,17,18,1701.72,49349.88,10,7,Healthy
P0098,Programming Book 2,Books,WH-North,17,11,30,883.25,15015.25,7,4,Healthy
P0099,Programming Book 3,Books,WH-North,10,14,20,984.34,9843.4,8,6,Low Stock
P0100,Programming Book 4,Books,WH-North,19,11,27,918.9,17459.1,7,4,Healthy
P0101,Data Science Book 1,Books,WH-North,13,11,40,966.8,12568.4,3,7,Healthy
P0104,Data Science Book 4,Books,WH-North,11,15,24,941.07,10351.77,7,6,Low Stock
P0109,Fiction Book 1,Books,WH-North,16,12,24,947.07,15153.12,9,3,Healthy
P0110,Fiction Book 2,Books,WH-North,39,17,23,931.62,36333.18,9,7,Healthy
P0112,Fiction Book 4,Books,WH-North,8,9,27,987.8,7902.4,2,7,Low Stock
P0006,Smartphone 2,Electronics,WH-North,14,12,35,21933.79,307073.06,4,7,Healthy
P0010,Tablet 2,Electronics,WH-North,14,10,34,25938.07,363132.98,5,4,Healthy
P0013,Monitor 1,Electronics,WH-North,6,8,35,23544.85,141269.1,5,3,Low Stock
P0014,Monitor 2,Electronics,WH-North,7,10,34,23858.03,167006.21,6,4,Low Stock
P0018,Keyboard 2,Electronics,WH-North,17,8,17,22945.16,390067.72,3,5,Healthy
P0019,Keyboard 3,Electronics,WH-North,25,18,18,23111.09,577777.25,10,6,Healthy
P0022,Mouse 2,Electronics,WH-North,18,21,20,23818.73,428737.14,10,9,Low Stock
P0024,Mouse 4,Electronics,WH-North,14,7,21,23432.03,328048.42,4,3,Healthy
P0025,Headphones 1,Electronics,WH-North,13,14,22,23949.03,311337.39,7,7,Low Stock
P0028,Headphones 4,Electronics,WH-North,11,7,30,22421.68,246638.48,2,4,Healthy
P0054,T-Shirt 2,Fashion,WH-North,10,11,20,2888.08,28880.8,3,7,Low Stock
P0055,T-Shirt 3,Fashion,WH-North,17,15,29,2972.12,50526.04,6,8,Healthy
P0056,T-Shirt 4,Fashion,WH-North,16,11,18,2845.42,45526.72,6,5,Healthy
P0057,Jeans 1,Fashion,WH-North,14,10,20,2972.26,41611.64,5,5,Healthy
P0060,Jeans 4,Fashion,WH-North,16,10,30,2973.0,47568.0,6,4,Healthy
P0061,Sneakers 1,Fashion,WH-North,9,11,17,2930.44,26373.96,6,5,Low Stock
P0062,Sneakers 2,Fashion,WH-North,20,16,19,2843.23,56864.6,9,7,Healthy
P0063,Sneakers 3,Fashion,WH-North,8,15,20,2779.6,22236.8,8,6,Low Stock
P0066,Jacket 2,Fashion,WH-North,11,11,32,2967.05,32637.55,8,3,Low Stock
P0068,Jacket 4,Fashion,WH-North,23,15,34,2830.34,65097.82,8,7,Healthy
P0071,Backpack 3,Fashion,WH-North,29,14,36,2761.31,80077.99,8,5,Healthy
P0073,Watch 1,Fashion,WH-North,5,7,31,2756.75,13783.75,4,3,Low Stock
P0074,Watch 2,Fashion,WH-North,32,15,34,2814.27,90056.64,10,5,Healthy
P0075,Watch 3,Fashion,WH-North,36,16,31,2923.56,105248.16,8,7,Healthy
P0031,Air Purifier 3,Home,WH-North,22,14,28,6542.88,143943.36,9,4,Healthy
P0035,Mixer 3,Home,WH-North,7,9,18,6341.75,44392.25,4,4,Low Stock
P0036,Mixer 4,Home,WH-North,34,15,39,6245.27,212339.18,7,6,Healthy
P0038,Vacuum Cleaner 2,Home,WH-North,7,9,32,5915.02,41405.14,2,7,Low Stock
P0040,Vacuum Cleaner 4,Home,WH-North,22,14,29,6822.6,150097.2,6,7,Healthy
P0041,Coffee Maker 1,Home,WH-North,12,16,30,6425.87,77110.44,10,6,Low Stock
P0044,Coffee Maker 4,Home,WH-North,18,10,19,6273.59,112924.62,7,3,Healthy
P0048,Lamp 4,Home,WH-North,9,11,30,6352.59,57173.31,4,6,Low Stock
P0050,Storage Box 2,Home,WH-North,9,13,33,6591.53,59323.77,7,6,Low Stock
P0051,Storage Box 3,Home,WH-North,6,11,17,6408.86,38453.16,8,3,Low Stock
P0052,Storage Box 4,Home,WH-North,33,16,29,5925.8,195551.4,9,7,Healthy
P0113,Yoga Mat 1,Sports,WH-North,12,8,24,4146.2,49754.4,2,6,Healthy
P0119,Running Shoes 3,Sports,WH-North,19,14,27,4209.71,79984.49,8,6,Healthy
P0120,Running Shoes 4,Sports,WH-North,18,13,28,4142.26,74560.68,6,7,Healthy
P0121,Football 1,Sports,WH-North,26,14,16,4245.47,110382.22,8,6,Healthy
P0123,Football 3,Sports,WH-North,20,8,23,4198.99,83979.8,4,4,Healthy
P0126,Cricket Bat 2,Sports,WH-North,14,13,31,3892.53,54495.42,7,4,Healthy
P0128,Cricket Bat 4,Sports,WH-North,29,14,20,4203.89,121912.81,9,3,Healthy
P0130,Dumbbells 2,Sports,WH-North,21,11,18,4319.3,90705.3,4,7,Healthy
P0131,Dumbbells 3,Sports,WH-North,11,15,33,4180.55,45986.05,8,6,Low Stock
P0078,Face Wash 2,Beauty,WH-South,14,10,18,1831.53,25641.42,6,4,Healthy
P0080,Face Wash 4,Beauty,WH-South,36,18,31,1658.44,59703.84,10,6,Healthy
P0081,Shampoo 1,Beauty,WH-South,15,7,31,1803.08,27046.2,2,5,Healthy
P0082,Shampoo 2,Beauty,WH-South,13,14,27,1771.35,23027.55,8,6,Low Stock
P0083,Shampoo 3,Beauty,WH-South,9,14,21,1559.83,14038.47,10,3,Low Stock
P0086,Moisturizer 2,Beauty,WH-South,28,15,22,1626.93,45554.04,9,5,Healthy
P0087,Moisturizer 3,Beauty,WH-South,10,13,28,1722.1,17221.0,10,3,Low Stock
P0090,Perfume 2,Beauty,WH-South,28,13,28,1748.81,48966.68,8,4,Healthy
P0091,Perfume 3,Beauty,WH-South,22,11,34,1782.07,39205.54,3,7,Healthy
P0092,Perfume 4,Beauty,WH-South,20,8,16,1701.72,34034.4,3,5,Healthy
P0093,Sunscreen 1,Beauty,WH-South,27,17,28,1902.16,51358.32,10,7,Healthy
P0096,Sunscreen 4,Beauty,WH-South,6,10,37,1905.32,11431.92,3,6,Low Stock
P0097,Programming Book 1,Books,WH-South,19,8,23,992.41,18855.79,5,3,Healthy
P0100,Programming Book 4,Books,WH-South,18,10,34,918.9,16540.2,5,5,Healthy
P0101,Data Science Book 1,Books,WH-South,27,13,39,966.8,26103.6,8,3,Healthy
P0106,Business Book 2,Books,WH-South,21,12,26,884.53,18575.13,5,7,Healthy
P0108,Business Book 4,Books,WH-South,10,13,22,958.5,9585.0,5,7,Low Stock
P0111,Fiction Book 3,Books,WH-South,24,10,42,913.32,21919.68,4,4,Healthy
P0006,Smartphone 2,Electronics,WH-South,16,11,35,21933.79,350940.64,4,6,Healthy
P0007,Smartphone 3,Electronics,WH-South,15,7,29,23029.8,345447.0,4,3,Healthy
P0008,Smartphone 4,Electronics,WH-South,11,14,20,21649.97,238149.67,7,6,Low Stock
P0013,Monitor 1,Electronics,WH-South,13,7,23,23544.85,306083.05,3,4,Healthy
P0014,Monitor 2,Electronics,WH-South,8,7,27,23858.03,190864.24,3,4,Healthy
P0015,Monitor 3,Electronics,WH-South,8,13,28,22628.7,181029.6,7,5,Low Stock
P0019,Keyboard 3,Electronics,WH-South,27,18,24,23111.09,623999.43,10,6,Healthy
P0020,Keyboard 4,Electronics,WH-South,11,10,29,23720.38,260924.18,4,6,Healthy
P0021,Mouse 1,Electronics,WH-South,11,14,34,23905.25,262957.75,8,6,Low Stock
P0022,Mouse 2,Electronics,WH-South,17,15,31,23818.73,404918.41,5,9,Healthy
P0025,Headphones 1,Electronics,WH-South,26,17,18,23949.03,622674.78,10,7,Healthy
P0026,Headphones 2,Electronics,WH-South,29,15,27,23712.81,687671.49,10,5,Healthy
P0053,T-Shirt 1,Fashion,WH-South,12,6,35,2955.69,35468.28,2,4,Healthy
P0057,Jeans 1,Fashion,WH-South,11,8,28,2972.26,32694.86,4,4,Healthy
P0058,Jeans 2,Fashion,WH-South,11,8,27,2734.77,30082.47,4,3,Healthy
P0059,Jeans 3,Fashion,WH-South,15,13,31,2771.13,41566.95,7,6,Healthy
P0062,Sneakers 2,Fashion,WH-South,9,7,35,2843.23,25589.07,4,3,Healthy
P0064,Sneakers 4,Fashion,WH-South,45,18,20,2813.17,126592.65,10,7,Healthy
P0066,Jacket 2,Fashion,WH-South,12,8,27,2967.05,35604.6,4,4,Healthy
P0067,Jacket 3,Fashion,WH-South,29,14,17,2920.06,84681.74,7,6,Healthy
P0069,Backpack 1,Fashion,WH-South,15,6,28,2658.75,39881.25,2,4,Healthy
P0070,Backpack 2,Fashion,WH-South,18,16,28,2737.96,49283.28,10,5,Healthy
P0072,Backpack 4,Fashion,WH-South,11,15,32,3142.51,34567.61,7,7,Low Stock
P0073,Watch 1,Fashion,WH-South,18,9,22,2756.75,49621.5,3,6,Healthy
P0074,Watch 2,Fashion,WH-South,19,9,17,2814.27,53471.13,4,5,Healthy
P0075,Watch 3,Fashion,WH-South,9,9,29,2923.56,26312.04,5,3,Low Stock
P0076,Watch 4,Fashion,WH-South,26,11,29,2903.84,75499.84,6,5,Healthy
P0029,Air Purifier 1,Home,WH-South,20,8,27,6213.88,124277.6,3,5,Healthy
P0036,Mixer 4,Home,WH-South,17,13,26,6245.27,106169.59,5,7,Healthy
P0037,Vacuum Cleaner 1,Home,WH-South,8,13,24,5941.43,47531.44,7,5,Low Stock
P0038,Vacuum Cleaner 2,Home,WH-South,23,9,32,5915.02,136045.46,2,7,Healthy
P0039,Vacuum Cleaner 3,Home,WH-South,10,8,23,5925.48,59254.8,4,4,Healthy
P0042,Coffee Maker 2,Home,WH-South,7,9,35,6120.64,42844.48,2,7,Low Stock
P0045,Lamp 1,Home,WH-South,26,15,34,6078.77,158048.02,9,5,Healthy
P0046,Lamp 2,Home,WH-South,21,11,22,6771.21,142195.41,5,6,Healthy
P0047,Lamp 3,Home,WH-South,19,8,31,6241.39,118586.41,3,5,Healthy
P0048,Lamp 4,Home,WH-South,9,17,27,6352.59,57173.31,9,7,Low Stock
P0049,Storage Box 1,Home,WH-South,19,8,31,6076.83,115459.77,4,4,Healthy
P0051,Storage Box 3,Home,WH-South,16,16,32,6408.86,102541.76,9,7,Low Stock
P0115,Yoga Mat 3,Sports,WH-South,26,11,24,4239.23,110219.98,7,4,Healthy
P0118,Running Shoes 2,Sports,WH-South,10,11,29,4057.7,40577.0,7,4,Low Stock
P0119,Running Shoes 3,Sports,WH-South,25,10,26,4209.71,105242.75,4,6,Healthy
P0120,Running Shoes 4,Sports,WH-South,14,10,18,4142.26,57991.64,5,5,Healthy
P0121,Football 1,Sports,WH-South,25,12,33,4245.47,106136.75,9,3,Healthy
P0123,Football 3,Sports,WH-South,30,17,21,4198.99,125969.7,10,7,Healthy
P0124,Football 4,Sports,WH-South,27,12,22,4580.81,123681.87,5,7,Healthy
P0125,Cricket Bat 1,Sports,WH-South,15,12,20,4421.6,66324.0,6,6,Healthy
P0126,Cricket Bat 2,Sports,WH-South,23,16,23,3892.53,89528.19,8,6,Healthy
P0077,Face Wash 1,Beauty,WH-West,14,11,33,1875.19,26252.66,4,7,Healthy
P0079,Face Wash 3,Beauty,WH-West,8,6,17,1614.67,12917.36,3,3,Healthy
P0080,Face Wash 4,Beauty,WH-West,20,20,25,1658.44,33168.8,10,8,Low Stock
P0081,Shampoo 1,Beauty,WH-West,14,9,35,1803.08,25243.12,4,5,Healthy
P0082,Shampoo 2,Beauty,WH-West,24,13,35,1771.35,42512.4,10,3,Healthy
P0083,Shampoo 3,Beauty,WH-West,10,13,24,1559.83,15598.3,9,3,Low Stock
P0085,Moisturizer 1,Beauty,WH-West,14,9,25,1787.67,25027.38,2,6,Healthy
P0086,Moisturizer 2,Beauty,WH-West,13,11,22,1626.93,21150.09,6,4,Healthy
P0088,Moisturizer 4,Beauty,WH-West,16,9,32,1710.91,27374.56,4,5,Healthy
P0089,Perfume 1,Beauty,WH-West,29,12,25,1785.78,51787.62,7,4,Healthy
P0090,Perfume 2,Beauty,WH-West,16,13,16,1748.81,27980.96,9,3,Healthy
P0094,Sunscreen 2,Beauty,WH-West,15,13,29,1755.9,26338.5,8,5,Healthy
P0096,Sunscreen 4,Beauty,WH-West,17,9,35,1905.32,32390.44,3,5,Healthy
P0097,Programming Book 1,Books,WH-West,15,6,19,992.41,14886.15,3,3,Healthy
P0098,Programming Book 2,Books,WH-West,21,14,30,883.25,18548.25,10,4,Healthy
P0102,Data Science Book 2,Books,WH-West,7,8,26,942.9,6600.3,4,4,Low Stock
P0103,Data Science Book 3,Books,WH-West,15,10,35,926.9,13903.5,6,3,Healthy
P0105,Business Book 1,Books,WH-West,26,11,35,868.3,22575.8,4,7,Healthy
P0106,Business Book 2,Books,WH-West,6,5,27,884.53,5307.18,2,3,Healthy
P0108,Business Book 4,Books,WH-West,15,16,36,958.5,14377.5,8,7,Low Stock
P0111,Fiction Book 3,Books,WH-West,24,17,23,913.32,21919.68,8,6,Healthy
P0002,Laptop 2,Electronics,WH-West,13,16,26,22922.26,297989.38,8,7,Low Stock
P0003,Laptop 3,Electronics,WH-West,14,11,36,24469.24,342569.36,4,6,Healthy
P0004,Laptop 4,Electronics,WH-West,21,14,17,22448.77,471424.17,9,4,Healthy
P0005,Smartphone 1,Electronics,WH-West,15,10,22,22650.9,339763.5,4,5,Healthy
P0008,Smartphone 4,Electronics,WH-West,19,13,30,21649.97,411349.43,6,6,Healthy
P0010,Tablet 2,Electronics,WH-West,7,6,23,25938.07,181566.49,2,3,Healthy
P0011,Tablet 3,Electronics,WH-West,29,14,32,21569.88,625526.52,7,6,Healthy
P0012,Tablet 4,Electronics,WH-West,6,8,33,22511.76,135070.56,4,3,Low Stock
P0013,Monitor 1,Electronics,WH-West,12,11,35,23544.85,282538.2,5,6,Healthy
P0014,Monitor 2,Electronics,WH-West,20,9,31,23858.03,477160.6,6,3,Healthy
P0016,Monitor 4,Electronics,WH-West,17,10,19,22414.59,381048.03,7,3,Healthy
P0017,Keyboard 1,Electronics,WH-West,18,15,27,22601.57,406828.26,10,5,Healthy
P0019,Keyboard 3,Electronics,WH-West,30,13,21,23111.09,693332.7,4,8,Healthy
P0023,Mouse 3,Electronics,WH-West,28,12,30,23518.73,658524.44,5,7,Healthy
P0024,Mouse 4,Electronics,WH-West,5,6,32,23432.03,117160.15,2,4,Low Stock
P0025,Headphones 1,Electronics,WH-West,11,11,18,23949.03,263439.33,8,3,Low Stock
P0027,Headphones 3,Electronics,WH-West,20,10,30,24297.11,485942.2,3,7,Healthy
P0028,Headphones 4,Electronics,WH-West,22,12,18,22421.68,493276.96,6,5,Healthy
P0053,T-Shirt 1,Fashion,WH-West,12,14,30,2955.69,35468.28,7,7,Low Stock
P0055,T-Shirt 3,Fashion,WH-West,25,14,29,2972.12,74303.0,6,7,Healthy
P0060,Jeans 4,Fashion,WH-West,33,14,26,2973.0,98109.0,7,7,Healthy
P0061,Sneakers 1,Fashion,WH-West,12,10,30,2930.44,35165.28,7,3,Healthy
P0065,Jacket 1,Fashion,WH-West,19,9,24,2967.34,56379.46,5,3,Healthy
P0068,Jacket 4,Fashion,WH-West,13,11,25,2830.34,36794.42,4,7,Healthy
P0071,Backpack 3,Fashion,WH-West,25,10,30,2761.31,69032.75,3,6,Healthy
P0072,Backpack 4,Fashion,WH-West,25,15,31,3142.51,78562.75,9,5,Healthy
P0031,Air Purifier 3,Home,WH-West,23,17,24,6542.88,150486.24,10,6,Healthy
P0032,Air Purifier 4,Home,WH-West,22,11,33,6447.69,141849.18,6,4,Healthy
P0038,Vacuum Cleaner 2,Home,WH-West,27,13,18,5915.02,159705.54,7,6,Healthy
P0039,Vacuum Cleaner 3,Home,WH-West,18,14,28,5925.48,106658.64,9,5,Healthy
P0040,Vacuum Cleaner 4,Home,WH-West,15,9,33,6822.6,102339.0,4,4,Healthy
P0041,Coffee Maker 1,Home,WH-West,23,12,33,6425.87,147795.01,8,4,Healthy
P0044,Coffee Maker 4,Home,WH-West,12,8,26,6273.59,75283.08,3,5,Healthy
P0047,Lamp 3,Home,WH-West,17,12,23,6241.39,106103.63,5,7,Healthy
P0048,Lamp 4,Home,WH-West,46,19,20,6352.59,292219.14,10,7,Healthy
P0049,Storage Box 1,Home,WH-West,20,8,33,6076.83,121536.6,5,3,Healthy
P0115,Yoga Mat 3,Sports,WH-West,8,15,35,4239.23,33913.84,9,6,Low Stock
P0116,Yoga Mat 4,Sports,WH-West,11,14,19,4190.45,46094.95,9,5,Low Stock
P0119,Running Shoes 3,Sports,WH-West,18,16,34,4209.71,75774.78,10,6,Healthy
P0123,Football 3,Sports,WH-West,23,14,30,4198.99,96576.77,10,4,Healthy
P0124,Football 4,Sports,WH-West,16,7,28,4580.81,73292.96,2,5,Healthy
P0129,Dumbbells 1,Sports,WH-West,8,9,24,4320.07,34560.56,6,3,Low Stock
P0130,Dumbbells 2,Sports,WH-West,11,13,31,4319.3,47512.3,10,3,Low Stock
P0131,Dumbbells 3,Sports,WH-West,28,11,39,4180.55,117055.4,4,6,Healthy
